,Brand,Model_Type,Fuel_Type,Transmission,Owner_Type,Location,Age,Kilometers_Driven,Mileage_Converted,Engine,Power,Seats,Price
58,Maruti,Hatchback,Petrol,Manual,First,Hyderabad,9,39300,18.2,998,67.1,5,2.25
59,Toyota,SUV/MUV/MPV,Diesel,Manual,First,Mumbai,2,22000,13.68,2393,147.8,8,16.5
60,Ford,Hatchback,Diesel,Manual,First,Bangalore,9,72000,20.0,1399,68.0,5,2.75
61,Mercedes-Benz,Sedan,Petrol,Automatic,First,Delhi,4,58000,11.74,1796,186.0,5,26.7
62,Mercedes-Benz,Sedan,Diesel,Manual,Second,Pune,8,65000,15.8,2148,170.0,5,10.0
63,Tata,Hatchback,Diesel,Manual,First,Chennai,3,178000,25.0,1396,69.0,5,2.5
64,Audi,Sedan,Diesel,Automatic,First,Jaipur,7,65664,16.55,1968,140.0,5,13.5
65,Honda,Sedan,Petrol,Automatic,Second,Mumbai,12,63000,16.4,1497,78.0,5,1.85
66,Maruti,SUV/MUV/MPV,Diesel,Manual,First,Pune,3,63000,24.52,1248,88.5,7,8.15
67,Hyundai,SUV/MUV/MPV,Diesel,Manual,First,Mumbai,1,13000,22.1,1396,88.7,5,10.5
68,Porsche,SUV/MUV/MPV,Petrol,Automatic,First,Mumbai,11,73000,8.5,4806,500.0,5,14.5
69,Mahindra,SUV/MUV/MPV,Diesel,Manual,First,Mumbai,4,55729,15.1,2179,140.0,7,9.65
70,Hyundai,Hatchback,Petrol,Automatic,First,Kochi,7,45178,16.95,1197,78.9,5,3.48
71,Nissan,SUV/MUV/MPV,Diesel,Manual,First,Kochi,4,56066,19.64,1461,108.5,5,6.92
72,Honda,Hatchback,Petrol,Automatic,Second,Coimbatore,3,37300,16.5,1198,86.8,5,6.46
73,Audi,Sedan,Diesel,Automatic,Second,Delhi,5,56000,18.53,1968,187.74,5,29.5
74,Toyota,SUV/MUV/MPV,Petrol,Manual,Third,Chennai,13,230000,12.4,1998,132.0,8,4.5
75,Toyota,SUV/MUV/MPV,Diesel,Manual,First,Hyderabad,7,104000,12.8,2494,102.0,7,11.75
76,Maruti,Hatchback,Diesel,Manual,First,Jaipur,7,95100,22.9,1248,74.0,5,3.75
77,Tata,Sedan,Petrol,Manual,First,Pune,2,70000,17.57,1193,88.7,5,4.5
78,Honda,Sedan,Petrol,Manual,First,Kochi,3,54944,18.0,1198,86.7,5,4.82
79,Ford,Hatchback,Diesel,Manual,First,Hyderabad,7,70337,20.0,1399,68.0,5,2.8
80,Maruti,Hatchback,Diesel,Manual,First,Jaipur,6,99638,23.2,1248,73.94,5,3.11
81,Honda,Sedan,Petrol,Manual,First,Delhi,10,52000,17.8,1497,117.3,5,3.25
82,BMW,Sedan,Diesel,Automatic,Second,Delhi,8,75000,16.73,1995,218.0,5,13.9
83,Hyundai,Hatchback,Petrol,Manual,First,Pune,10,95980,20.36,1197,78.9,5,2.25
84,Hyundai,Hatchback,Petrol,Manual,First,Bangalore,3,16000,18.9,1197,82.0,5,5.75
85,Honda,Sedan,Petrol,Manual,First,Mumbai,3,18949,17.8,1198,86.7,5,5.0
86,Toyota,SUV/MUV/MPV,Diesel,Manual,First,Delhi,5,107000,13.0,2982,168.5,7,16.5
87,Audi,Sedan,Diesel,Automatic,First,Coimbatore,1,48367,17.68,1968,174.33,5,39.58
88,Ford,SUV/MUV/MPV,Diesel,Manual,First,Delhi,6,57000,22.7,1498,89.84,5,5.5
89,Mahindra,SUV/MUV/MPV,Diesel,Manual,First,Delhi,5,58000,15.1,2179,140.0,7,8.1
90,Honda,Sedan,Diesel,Manual,First,Kolkata,4,30000,25.8,1498,98.6,5,3.5
91,Volkswagen,Hatchback,Diesel,Manual,First,Kolkata,6,34212,22.07,1199,73.9,5,2.79
92,Hyundai,Sedan,Diesel,Manual,First,Ahmedabad,9,70002,16.2,1493,110.0,5,3.45
93,Maruti,Hatchback,Petrol,Manual,First,Bangalore,3,62000,18.9,998,67.1,5,4.45
94,Volkswagen,Hatchback,Petrol,Manual,First,Delhi,9,62001,15.26,1598,103.5,5,2.65
95,Hyundai,Hatchback,Diesel,Manual,Second,Pune,8,78958,23.0,1396,90.0,5,3.8
96,Hyundai,Hatchback,Petrol,Manual,First,Mumbai,5,30180,18.5,1197,82.85,5,4.65
97,Datsun,SUV/MUV/MPV,Petrol,Manual,First,Pune,2,32851,19.83,1198,67.0,7,3.95
98,Audi,Sedan,Diesel,Automatic,First,Kolkata,9,30000,14.94,2967,241.4,5,9.8
99,Hyundai,Hatchback,Petrol,Manual,Second,Pune,10,66000,17.0,1197,80.0,5,2.7
100,Maruti,SUV/MUV/MPV,Petrol,Manual,First,Coimbatore,9,93850,14.0,796,35.0,5,2.41
101,Toyota,Hatchback,Petrol,Manual,First,Ahmedabad,5,53000,17.71,1197,78.9,5,3.9
102,Jaguar,Sedan,Diesel,Automatic,Second,Hyderabad,8,78000,14.74,2993,270.9,5,24.0
103,Mahindra,SUV/MUV/MPV,Diesel,Manual,Second,Delhi,7,65000,16.0,2179,140.0,7,5.75
104,Hyundai,Sedan,Diesel,Automatic,First,Kolkata,5,40000,22.32,1582,126.32,5,5.25
105,Toyota,SUV/MUV/MPV,Diesel,Automatic,First,Mumbai,2,30000,11.36,2755,171.5,7,19.25
106,Maruti,SUV/MUV/MPV,Petrol,Manual,First,Coimbatore,2,38053,15.1,1196,73.0,5,3.91
107,Tata,Hatchback,Petrol,Manual,First,Bangalore,5,25500,25.4,624,37.5,4,2.15
108,BMW,Sedan,Diesel,Automatic,First,Mumbai,4,56087,22.69,1995,190.0,5,20.75
109,Honda,Sedan,Petrol,Manual,First,Delhi,9,71088,13.5,1799,130.0,5,3.35
110,Toyota,SUV/MUV/MPV,Diesel,Manual,First,Ahmedabad,5,55000,12.99,2494,100.6,7,11.11
111,Volvo,Hatchback,Diesel,Automatic,First,Bangalore,5,32700,23.3,1984,150.0,5,20.0
112,Nissan,Hatchback,Petrol,Automatic,First,Coimbatore,3,39882,19.15,1198,75.94,5,6.55
113,BMW,Sedan,Petrol,Automatic,First,Mumbai,10,128000,10.8,2497,215.0,5,7.0
114,Maruti,SUV/MUV/MPV,Diesel,Manual,First,Mumbai,3,55000,24.3,1248,88.5,5,7.5
115,Mercedes-Benz,Hatchback,Diesel,Automatic,Second,Pune,5,53753,15.0,2143,107.3,5,16.75
116,Hyundai,Sedan,Diesel,Manual,First,Kolkata,1,10250,22.0,1582,126.2,5,10.95
117,Maruti,Hatchback,Petrol,Manual,First,Pune,8,43874,18.9,998,67.1,5,2.45
118,Tata,Hatchback,Petrol,Automatic,First,Coimbatore,2,32684,21.9,624,37.48,4,3.23
119,Mahindra,SUV/MUV/MPV,Diesel,Manual,First,Kolkata,5,42000,12.05,2179,120.0,8,7.75
120,Mercedes-Benz,Sedan,Petrol,Automatic,First,Kolkata,10,28352,11.7,1796,178.0,5,9.35
121,Maruti,Hatchback,CNG,Manual,First,Pune,6,89900,19.0,998,58.16,5,3.25
122,Honda,SUV/MUV/MPV,Petrol,Manual,Second,Bangalore,12,47700,10.8,2354,152.0,5,5.25
123,Volkswagen,Sedan,Diesel,Automatic,First,Pune,4,55000,21.21,1498,103.2,5,7.25
124,Maruti,Sedan,Petrol,Manual,First,Kochi,2,44285,20.73,1373,91.1,5,7.47
125,Mahindra,SUV/MUV/MPV,Diesel,Automatic,First,Jaipur,3,54000,16.0,2179,140.0,7,13.25
126,Maruti,Hatchback,Petrol,Manual,First,Coimbatore,3,30232,21.1,1197,85.8,5,5.81
127,Maruti,Hatchback,Petrol,Manual,First,Hyderabad,5,88500,24.07,998,67.1,5,2.6
128,Mercedes-Benz,Convertible/Coupe,Petrol,Automatic,First,Kolkata,2,13372,19.0,2996,362.07,2,54.0
129,Hyundai,Sedan,Petrol,Automatic,First,Kochi,0,12645,17.0,1591,121.3,5,11.5
130,Maruti,Hatchback,Petrol,Manual,Second,Chennai,9,94385,19.7,796,46.3,5,1.6
131,BMW,Hatchback,Diesel,Automatic,First,Coimbatore,4,31821,20.58,1995,143.0,5,17.22
132,Honda,Hatchback,Petrol,Automatic,First,Mumbai,4,12000,19.0,1199,88.7,5,6.0
133,Honda,Sedan,Petrol,Manual,First,Delhi,7,88578,13.5,1799,130.0,5,3.95
134,Mercedes-Benz,Sedan,Diesel,Automatic,First,Kochi,5,44965,19.27,2143,170.0,5,17.95
135,Honda,Sedan,Diesel,Manual,First,Kolkata,5,45044,25.8,1498,98.6,5,3.7
136,Maruti,Hatchback,Petrol,Manual,First,Kochi,3,34204,22.0,1197,81.8,5,5.43
137,Toyota,SUV/MUV/MPV,Diesel,Manual,First,Coimbatore,7,91235,11.5,2982,171.0,7,13.49
138,Chevrolet,Hatchback,Petrol,Manual,First,Pune,5,38800,18.6,1199,76.8,5,2.85
139,Skoda,Sedan,Diesel,Manual,First,Chennai,6,83000,21.14,1498,103.52,5,4.75
140,Maruti,Sedan,Petrol,Manual,First,Kochi,1,41283,20.73,1373,91.1,5,9.9
141,Audi,Convertible/Coupe,Petrol,Automatic,First,Mumbai,6,23000,11.05,2894,444.0,4,37.0
142,BMW,Sedan,Diesel,Automatic,First,Mumbai,5,48000,21.76,1995,190.0,5,26.5
143,Audi,Sedan,Diesel,Automatic,First,Coimbatore,4,48214,17.11,1968,174.33,5,23.32
144,Maruti,Hatchback,Diesel,Manual,First,Chennai,3,35000,22.9,1248,74.0,5,6.25
145,Mercedes-Benz,Sedan,Petrol,Automatic,First,Kolkata,9,35277,7.81,5461,362.9,5,30.0
146,Skoda,Sedan,Diesel,Automatic,First,Coimbatore,3,54620,21.66,1498,103.52,5,9.86
147,Skoda,Sedan,Diesel,Automatic,First,Pune,7,136997,17.2,1968,138.1,5,8.5
148,Hyundai,Hatchback,Petrol,Manual,First,Kochi,0,14322,21.1,814,55.2,5,4.23
149,Volkswagen,Hatchback,Diesel,Manual,First,Jaipur,7,65634,22.07,1199,73.9,5,3.5
150,Datsun,Hatchback,Petrol,Manual,First,Kolkata,3,6000,20.63,1198,67.06,5,2.5
151,Honda,Hatchback,Petrol,Manual,First,Kolkata,6,33280,19.4,1198,86.8,5,2.39
152,Mercedes-Benz,Hatchback,Petrol,Automatic,First,Delhi,6,29000,14.8,1595,120.7,5,11.25
153,Honda,Sedan,Diesel,Manual,First,Kochi,4,42831,26.0,1498,98.6,5,7.11
154,Toyota,SUV/MUV/MPV,Diesel,Manual,First,Ahmedabad,3,90000,12.99,2494,100.6,7,10.9
155,Maruti,Hatchback,Petrol,Manual,First,Ahmedabad,2,24005,20.4,1197,81.8,5,6.2
156,Mahindra,SUV/MUV/MPV,Diesel,Manual,First,Mumbai,7,32792,15.1,2179,140.0,7,7.9
157,Ford,SUV/MUV/MPV,Diesel,Manual,First,Kochi,5,147898,22.7,1498,89.84,5,4.42
158,Toyota,SUV/MUV/MPV,Diesel,Manual,First,Mumbai,7,131765,13.0,2982,168.5,7,13.5
159,Volkswagen,Sedan,Diesel,Automatic,First,Chennai,6,65000,21.5,1498,108.5,5,6.25
160,Ford,Hatchback,Diesel,Manual,Second,Jaipur,9,66123,20.0,1399,68.0,5,2.1
161,BMW,SUV/MUV/MPV,Diesel,Automatic,First,Mumbai,4,41000,15.3,2993,258.0,5,45.0
162,Mercedes-Benz,Sedan,Diesel,Automatic,First,Coimbatore,2,23550,19.27,2143,167.62,5,33.66
163,Honda,Hatchback,Petrol,Manual,Second,Bangalore,7,45000,19.4,1198,86.8,5,3.65
164,Hyundai,Hatchback,Petrol,Manual,First,Delhi,6,60000,20.36,1197,78.9,5,2.75
165,Mercedes-Benz,SUV/MUV/MPV,Diesel,Automatic,First,Bangalore,3,44414,17.9,2143,170.0,5,42.5
166,Hyundai,Hatchback,Petrol,Manual,First,Kolkata,0,1000,18.9,1197,81.86,5,6.5
167,Audi,Sedan,Diesel,Automatic,Second,Mumbai,7,62500,17.68,1968,174.33,5,19.0
168,Volkswagen,Sedan,Petrol,Automatic,Second,Mumbai,6,21000,14.4,1598,103.6,5,4.45
169,Mini,Hatchback,Diesel,Automatic,Second,Jaipur,2,8525,16.6,1998,112.0,5,23.0
170,Hyundai,Hatchback,Diesel,Manual,First,Bangalore,5,29000,22.54,1396,88.73,5,8.35
171,Audi,Sedan,Diesel,Automatic,First,Mumbai,5,40000,17.68,1968,174.33,5,22.95
172,Chevrolet,Hatchback,Diesel,Manual,First,Jaipur,7,88000,25.44,936,57.6,5,1.5
173,Skoda,Sedan,Petrol,Automatic,First,Kochi,7,53537,13.7,1798,157.75,5,6.89
174,Ford,Sedan,Diesel,Manual,Second,Chennai,13,216000,17.8,1399,68.0,5,1.45
175,BMW,Sedan,Diesel,Automatic,First,Hyderabad,5,51000,22.48,1995,190.0,5,33.5
176,Chevrolet,Sedan,Petrol,Manual,First,Jaipur,12,118500,12.9,1598,102.5,5,1.25
177,Volkswagen,Hatchback,Diesel,Manual,First,Hyderabad,7,63000,22.07,1199,73.9,5,4.2
178,Renault,SUV/MUV/MPV,Diesel,Manual,First,Mumbai,4,25000,19.98,1461,108.5,8,6.75
179,Mercedes-Benz,Sedan,Diesel,Automatic,First,Bangalore,5,37382,13.0,2143,201.1,5,32.0
180,Maruti,Hatchback,Petrol,Manual,First,Kochi,2,24773,21.4,1197,83.1,5,7.5
181,Hyundai,Sedan,Diesel,Manual,First,Delhi,7,62000,22.32,1582,126.32,5,4.6
182,Hyundai,Hatchback,Petrol,Manual,First,Kochi,2,52340,19.81,1086,68.05,5,4.04
183,Mahindra,SUV/MUV/MPV,Diesel,Manual,First,Kochi,3,56739,15.4,1997,120.0,7,10.31
184,Land,SUV/MUV/MPV,Diesel,Automatic,First,Coimbatore,1,36091,12.7,2179,187.7,5,55.76
185,Ford,Hatchback,Diesel,Manual,First,Chennai,9,120000,20.0,1399,68.0,5,2.6
186,Maruti,SUV/MUV/MPV,Diesel,Manual,First,Mumbai,3,33000,25.47,1248,88.5,7,8.5
187,Honda,Sedan,Diesel,Manual,First,Kolkata,5,52000,25.8,1498,98.6,5,3.5
188,Hyundai,Hatchback,Petrol,Manual,First,Jaipur,4,43571,20.36,1197,78.9,5,3.55
189,Honda,Sedan,Diesel,Manual,First,Kolkata,6,50000,25.8,1498,98.6,5,3.25
190,Skoda,Sedan,Diesel,Manual,First,Hyderabad,11,113000,17.5,1896,106.0,5,4.5
191,Renault,SUV/MUV/MPV,Diesel,Manual,First,Delhi,5,90000,19.87,1461,83.8,5,5.35
192,Mahindra,SUV/MUV/MPV,Diesel,Manual,Second,Chennai,2,29000,17.45,1493,100.0,7,6.5
193,Maruti,SUV/MUV/MPV,Diesel,Manual,First,Mumbai,3,20000,24.3,1248,88.5,5,9.0
194,Hyundai,Hatchback,Petrol,Manual,First,Kochi,3,61012,18.6,1197,81.83,5,6.0
195,Skoda,Hatchback,Petrol,Manual,First,Jaipur,10,87459,14.7,1390,85.0,5,2.75
196,Tata,Sedan,Petrol,Manual,First,Pune,9,70500,15.64,1193,64.1,5,1.5
197,Audi,SUV/MUV/MPV,Diesel,Automatic,First,Delhi,4,64103,15.73,1968,174.33,5,19.9
198,Skoda,Sedan,Petrol,Automatic,First,Mumbai,5,76000,14.7,1798,177.5,5,10.0
199,Toyota,Hatchback,Diesel,Manual,First,Delhi,5,104000,23.59,1364,67.06,5,3.0
200,Mercedes-Benz,Hatchback,Petrol,Automatic,First,Kochi,5,37245,14.8,1595,120.7,5,11.96
201,Honda,Sedan,Diesel,Manual,First,Kolkata,6,45000,27.4,1498,98.6,5,3.25
202,Hyundai,Sedan,Diesel,Manual,Second,Jaipur,7,117837,22.32,1582,126.32,5,4.75
203,Renault,SUV/MUV/MPV,Diesel,Manual,First,Mumbai,5,30000,20.46,1461,83.8,5,5.95
204,Hyundai,SUV/MUV/MPV,Petrol,Manual,Second,Delhi,4,27057,15.29,1591,121.3,5,8.15
205,Maruti,Hatchback,Petrol,Automatic,First,Mumbai,3,8500,20.51,998,67.0,5,4.22
206,Mercedes-Benz,Sedan,Petrol,Automatic,First,Kolkata,9,30500,11.74,1796,186.0,5,10.5
207,Audi,Sedan,Diesel,Automatic,First,Delhi,7,56000,11.8,2967,246.7,5,45.0
208,Hyundai,Hatchback,Petrol,Manual,Second,Pune,7,44000,19.81,1086,68.05,5,2.9
209,Skoda,Sedan,Petrol,Automatic,First,Mumbai,2,10500,14.3,1598,103.52,5,8.9
210,Skoda,Sedan,Petrol,Automatic,First,Hyderabad,2,26000,14.67,1798,177.46,5,26.0
211,Hyundai,Hatchback,Petrol,Manual,First,Coimbatore,1,25166,17.19,1197,81.86,5,8.22
212,Honda,Sedan,Diesel,Manual,Second,Kolkata,5,64000,25.8,1498,98.6,5,3.5
213,Maruti,Hatchback,Petrol,Manual,Second,Chennai,15,61000,18.9,998,67.1,5,1.25
214,Mahindra,Sedan,Diesel,Manual,First,Hyderabad,6,107000,21.03,1461,65.0,5,3.7
215,Mercedes-Benz,Sedan,Diesel,Automatic,First,Coimbatore,1,29161,19.27,2143,167.62,5,39.41
216,Maruti,Hatchback,Petrol,Manual,First,Kolkata,6,32000,22.5,998,67.04,5,2.65
217,Nissan,SUV/MUV/MPV,Diesel,Manual,Second,Coimbatore,4,46173,19.01,1461,108.5,5,8.92
218,Mini,Convertible/Coupe,Petrol,Automatic,First,Kochi,2,26327,16.82,1998,189.08,4,35.67
219,Tata,Hatchback,Diesel,Manual,Second,Jaipur,12,200000,17.2,1396,53.5,5,0.85
220,Chevrolet,Hatchback,Petrol,Manual,Second,Kochi,3,60813,18.6,1199,76.8,5,3.32
221,Volkswagen,Hatchback,Diesel,Manual,First,Mumbai,7,45000,22.07,1199,73.9,5,3.6
222,Maruti,Hatchback,Diesel,Manual,First,Hyderabad,3,64000,22.9,1248,74.0,5,6.8
223,Ford,Hatchback,Diesel,Manual,First,Kolkata,7,41284,20.0,1399,68.05,5,2.5
224,Toyota,SUV/MUV/MPV,Diesel,Automatic,First,Kochi,0,14165,11.36,2755,171.5,7,19.64
225,Hyundai,SUV/MUV/MPV,Diesel,Automatic,Second,Mumbai,8,67000,11.72,2199,194.3,7,7.0
226,Honda,Sedan,Petrol,Manual,First,Kolkata,8,32572,17.4,1497,117.3,5,3.87
227,Hyundai,Hatchback,Petrol,Manual,First,Kochi,1,14960,18.6,1197,81.83,5,6.27
228,Mercedes-Benz,Sedan,Diesel,Automatic,First,Kochi,4,55980,19.27,2143,167.62,5,18.12
229,Chevrolet,Hatchback,Diesel,Manual,First,Mumbai,6,74000,25.44,936,57.6,5,2.65
230,Hyundai,Hatchback,Diesel,Manual,First,Kochi,4,56847,22.54,1396,88.73,5,7.2
231,Toyota,SUV/MUV/MPV,Diesel,Manual,First,Coimbatore,4,121374,12.99,2494,100.6,7,14.3
232,Maruti,SUV/MUV/MPV,Diesel,Manual,First,Chennai,6,52000,20.77,1248,88.76,7,6.9
233,Toyota,SUV/MUV/MPV,Diesel,Manual,First,Mumbai,5,118000,12.8,2494,102.0,7,10.75
234,Honda,Sedan,Petrol,Manual,First,Kochi,3,33915,17.8,1497,117.3,5,8.09
235,BMW,SUV/MUV/MPV,Diesel,Automatic,First,Ahmedabad,5,82002,17.05,1995,184.0,5,18.5
236,Hyundai,Hatchback,Diesel,Manual,First,Mumbai,2,33000,24.0,1120,70.0,5,4.75
237,Maruti,Sedan,Diesel,Manual,First,Chennai,3,34000,28.09,1248,88.5,5,8.45
238,Skoda,Sedan,Diesel,Manual,First,Kolkata,7,55000,20.5,1598,103.6,5,3.5
239,Hyundai,Sedan,Diesel,Manual,First,Kochi,13,160538,13.1,1493,82.0,5,1.8
240,Volkswagen,Hatchback,Diesel,Manual,Second,Jaipur,5,60000,19.91,1498,103.6,5,3.7
241,Honda,Hatchback,Petrol,Manual,First,Coimbatore,2,49575,18.7,1199,88.7,5,7.17
242,Hyundai,Hatchback,Petrol,Manual,First,Jaipur,9,83000,19.81,1086,68.05,5,1.75
243,Hyundai,SUV/MUV/MPV,Diesel,Automatic,First,Kochi,1,51346,16.38,1995,183.0,5,21.99
244,Toyota,SUV/MUV/MPV,Diesel,Manual,First,Pune,2,43000,13.68,2393,147.8,7,18.65
245,Maruti,SUV/MUV/MPV,Petrol,Manual,Third,Jaipur,8,35000,19.7,796,35.0,5,1.85
246,Maruti,Hatchback,Petrol,Manual,Second,Coimbatore,2,27872,20.4,1197,81.8,5,5.95
247,Hyundai,Hatchback,Petrol,Manual,First,Mumbai,5,16514,18.9,1197,82.0,5,3.75
248,Maruti,Hatchback,Diesel,Manual,First,Pune,7,120000,22.9,1248,74.0,5,3.75
249,Hyundai,Sedan,Diesel,Manual,First,Hyderabad,11,143275,22.0,1582,126.2,5,2.6
250,Hyundai,Hatchback,Petrol,Manual,First,Mumbai,9,52000,17.0,1197,80.0,5,2.8
251,Mercedes-Benz,SUV/MUV/MPV,Diesel,Automatic,First,Coimbatore,2,29819,11.57,2987,254.79,5,61.29
252,Mercedes-Benz,Sedan,Diesel,Manual,Second,Bangalore,5,57000,15.8,2148,170.0,5,18.0
253,Maruti,Hatchback,Diesel,Manual,First,Hyderabad,5,88500,23.2,1248,73.94,5,4.35
254,Hyundai,SUV/MUV/MPV,Diesel,Manual,First,Bangalore,3,28000,19.67,1582,126.2,5,13.75
255,Maruti,Hatchback,Petrol,Manual,First,Pune,9,67000,19.0,998,66.1,5,2.0
256,Renault,SUV/MUV/MPV,Diesel,Manual,First,Delhi,3,26000,19.64,1461,108.45,5,10.0
